n,trial,expected_moves,rec_moves,rec_time_us,it_moves,it_time_us
5,28,31,31,0,31,6
5,29,31,31,0,31,6
5,30,31,31,0,31,6
6,1,63,63,0,63,13
6,2,63,63,0,63,12
6,3,63,63,0,63,12
6,4,63,63,0,63,12
6,5,63,63,0,63,12
6,6,63,63,0,63,12
6,7,63,63,0,63,12
6,8,63,63,0,63,15
6,9,63,63,0,63,18
6,10,63,63,0,63,17
6,11,63,63,0,63,16
6,12,63,63,0,63,16
6,13,63,63,0,63,16
6,14,63,63,0,63,16
6,15,63,63,0,63,17
6,16,63,63,0,63,16
6,17,63,63,0,63,12
6,18,63,63,0,63,12
6,19,63,63,0,63,12
6,20,63,63,0,63,12
6,21,63,63,0,63,12
6,22,63,63,0,63,12
6,23,63,63,0,63,12
6,24,63,63,0,63,12
6,25,63,63,0,63,12
6,26,63,63,0,63,12
6,27,63,63,0,63,12
6,28,63,63,0,63,12
6,29,63,63,0,63,12
6,30,63,63,0,63,12
7,1,127,127,1,127,26
7,2,127,127,0,127,25
7,3,127,127,0,127,24
7,4,127,127,0,127,24
7,5,127,127,0,127,24
7,6,127,127,0,127,24
7,7,127,127,0,127,24
7,8,127,127,0,127,24
7,9,127,127,0,127,23
7,10,127,127,0,127,24
7,11,127,127,0,127,24
7,12,127,127,0,127,23
7,13,127,127,0,127,24
7,14,127,127,0,127,24
7,15,127,127,0,127,24
7,16,127,127,0,127,24
7,17,127,127,0,127,24
7,18,127,127,0,127,24
7,19,127,127,0,127,23
7,20,127,127,0,127,23
7,21,127,127,0,127,24
7,22,127,127,0,127,24
7,23,127,127,0,127,23
7,24,127,127,0,127,23
7,25,127,127,0,127,24
7,26,127,127,0,127,24
7,27,127,127,0,127,24
7,28,127,127,0,127,24
7,29,127,127,0,127,24
7,30,127,127,0,127,24
8,1,255,255,1,255,49
8,2,255,255,1,255,48
8,3,255,255,0,255,48
8,4,255,255,0,255,48
8,5,255,255,0,255,48
8,6,255,255,0,255,48
8,7,255,255,0,255,48
8,8,255,255,0,255,48
8,9,255,255,0,255,47
8,10,255,255,0,255,48
